ID,Código de Barras,Nombre,Precio Venta ($),Precio Compra ($),Categoría
861,,jugo fruton 400 ml bulto,7.00,6.00,Jugos
426,,jugo guaca fruit200 ml,0.68,0.41,Jugos
479,,jugo jucosa,0.56,0.48,Jugos
609,,jugo jugosa 1 litro,2.09,1.74,Jugos
648,,jugo jugosa pequeño,0.81,0.58,Jugos
60,,jugo justi 1.5 lit unidad,1.40,1.00,Jugos
949,,jugo justy 400 ml unidad,0.66,0.40,Jugos
678,,brillante  lavaplatos crema,1.60,1.28,Lavaplatos
35,,leche condensada maita,1.78,1.46,Leche Condensada
31,,dobom 120,1.50,1.19,Leche En Polvo
30,,dobom 200,2.30,2.04,Leche En Polvo
29,,dobom 400,4.30,3.85,Leche En Polvo
399,,leche amanecer 125 gr,2.10,1.83,Leche En Polvo
422,,leche amanecer 400 gr,6.23,5.76,Leche En Polvo
342,,leche los andes 250 gr,3.30,3.00,Leche En Polvo
216,,leche lucha 900g,12.70,11.67,Leche En Polvo
981,,Leche Purisima completa,2.82,2.42,Leche Liquida
578,,leche liquida natulac,2.63,2.25,Leche Liquida
891,,leche liquida purisima descremada,2.80,1.60,Leche Liquida
879,,maiz dulce bubba 184 gr,1.08,0.76,Maiz Dulce
290,,maiz dulce osole lata,1.79,1.35,Maiz Dulce
900,,Margarina Pampa 225 gr,1.22,1.01,Mantequillas
961,,Margarina juana 464 gr,2.20,1.88,Mantequillas
937,,Margarina la lucha,2.50,2.15,Mantequillas
3,,mantequilla mavesa G,3.00,2.62,Mantequillas
269,,mantequilla mavesa P,1.76,1.49,Mantequillas
985,,Mayonesa Fritz 150 gr,1.52,1.27,Mayonessa
958,,Mayonesa La Especial 445 gr,2.84,2.44,Mayonessa
938,,Mayonesa Real 445 gr,3.26,2.93,Mayonessa
798,,mayonesa La Pastora 185 g,1.31,1.12,Mayonessa
380,,mayonesa Real 175 gr,1.49,1.17,Mayonessa
9,,mayonesa kemy G,2.95,2.61,Mayonessa
165,,mayonesa kemy P,1.60,1.32,Mayonessa
